"Artist_URI","Description","Object_URI","Image","Owner","BornDate","deathDate","DateOfWork","AquisitionDate","Dimension","Classification_URI","Classification","Medium_URI","Medium","Subclassification_URI","Subclassification","Artist_Appellation_URI","Artist","values","CreditLine"
"E21_Person---dev#classLink","E21_Person---P3_has_note","E22_Man-Made_Object---dev#classLink","E38_Image---dev#classLink","E40_Legal_Body---rdf-schema#label","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/9200254a.jpg","National Portrait Gallery, Smithsonian Institution","","","1857","1992-05-26","41.9cm x 36.8cm (16 1/2"" x 14 1/2"") ","","Painting","","Oil on canvas","","","","Nahum Ball Onthank","","National Portrait Gallery, Smithsonian Institution; gift of Henry Merriam Abbot, in loving memory of his great-grandfather, Henry Larcom Abbot"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600030a.jpg","National Portrait Gallery, Smithsonian Institution","","","1913","1966","88.9cm x 76.2cm (35"" x 30""), Accurate ","","Painting","","Oil on canvas","","","","Louis Mayer","","National Portrait Gallery, Smithsonian Institution; transfer from the National Museum of Natural History"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600052a.jpg","National Portrait Gallery, Smithsonian Institution","","","1872-1873","1966-05","92cm x 76.5cm (36 1/4"" x 30 1/8""), Accurate ","","Painting","","Oil on canvas","","","","Walter Ingalls","","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7000062a.jpg","National Portrait Gallery, Smithsonian Institution","","","1969","1970","Board: 102.2 x 81.3 x 2.5cm (40 1/4 x 32 x 1"") Frame: 118.1 x 97.8 x 6.4cm (46 1/2 x 38 1/2 x 2 1/2"") ","","Painting","","Oil on board","","","","Ronald B. Anderson","","National Portrait Gallery, Smithsonian Institution; gift of Mr. and Mrs. William D. Blakemore, Midland, Texas; Mr. and Mrs. Omar Harvey, Dallas, Texas; Mr. and Mrs. R.K. Keitz, Dallas, Texas; Col. and Mrs. Thomas A.P. Krock, Dallas, Texas; Mr. and Mrs. W.R. Lloyd, Jr., Houston, Texas; Dr. and Mrs. J.R. Maxfield, Dallas, Texas; Mr. and Mrs. Wesley Nagorny, Jr., Houston, Texas; Dr. and Mrs. H.B. Renfrow, Dallas, Texas; Mr. and Mrs. J.W. Taylor, Dallas, Texas; Dr. and Mrs. J. Robert Terry, Miami, Florida; Mr. and Mrs. Thomas B. Young, Dallas, Texas; and an anonymous donor"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/B0000234C.jpg","National Portrait Gallery, Smithsonian Institution","","","2009","2010-05-17","Stretcher: 50.8 x 76.2cm (20 x 30"") Frame: 70.2 x 95.3 x 5.1cm (27 5/8 x 37 1/2 x 2"") ","","Painting","","Oil on canvas","","","","Robert Theodore McCall","","National Portrait Gallery, Smithsonian Institution; gift of McCall Studios"
"","Born Wapakoneta, Ohio   On July 20, 1969, Neil Armstrong became the first person to walk on the moon, meeting President John F. Kennedy’s 1961 goal for Americans to reach the moon by the end of the decade. Descending from the Lunar Excursion Module (LEM) to the lunar surface, Armstrong declared, “One small step for (a) man, one giant leap for mankind” as a camera beamed images back to earth. The lunar landing-during which Armstrong had to override the LEM’s autopilot to manually guide the aircraft to a safe landing on the moon-represents a defining moment in Armstrong’s distinguished career, which included service in the Korean War. In honor of his achievement, the nation recognized him with the Presidential Medal of Freedom in 1969; he also received many other national and international accolades. He went on to teach and to work in private industry and helped the nation continue to strengthen its space program.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78T1686A_2.jpg","National Portrait Gallery, Smithsonian Institution","","","1969","1978-05","Sight: 76.8 x 56.5cm (30 1/4 x 22 1/4"") Frame: 83.8 x 64.1 x 3.8cm (33 x 25 1/4 x 1 1/2"") ","","Painting","","Acrylic and casein on Masonite","","","","Louis Glanzman","","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6800074a.jpg","National Portrait Gallery, Smithsonian Institution","","","1883","1968-11","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","","","Matthew Wilson","","National Portrait Gallery, Smithsonian Institution; transfer from the Harry S Truman Library, Independence, Missouri"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/ny270002.jpg","Union League Club of New York","","","1887?","1887","134.5cm x 98.6cm (52 15/16"" x 38 13/16""), Sight ","","Painting","","","","","","Eastman Johnson","","Union League Club, New York"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/il090060.jpg","Newberry Library","","","1884","1887","Sight: 75 x 62.4cm (29 1/2 x 24 9/16"") ","","Painting","","Oil on canvas","","","","George Peter Alexander Healy","","The Newberry Library, Chicago, Illinois"
"","When Vice President Chester Arthur succeeded to the presidency on the death of James Garfield, a newspaper noted that he was ""not a man who would have entered anybody's mind"" as a worthy candidate for the office. Indeed, as a major player in a spoils system that reduced the civil service to a vehicle for rewarding party faithful, he struck many as an emblem of all that was wrong in American politics. As president, however, Arthur rose above his past to promote landmark legislation designed to curb the spoils system. He also proved to be a foe of other forms of corruption. When, for example, a ""pork barrel"" bill for public improvements reached his desk, he vetoed it.  This head-and-shoulders portrait can only hint at the fashionable figure that Arthur cut. With his muttonchop whiskers ""trimmed to the perfection point"" and his suits made of only the finest fabrics, he invariably looked like the very epitome of the well-bred Victorian gentleman. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6700114a.jpg","National Portrait Gallery, Smithsonian Institution","","","1881","1967-12","Sight: 62.2 x 50.8cm (24 1/2 x 20"") Frame: 79.1 x 69.2 x 7.6cm (31 1/8 x 27 1/4 x 3"") ","","Painting","","Oil on canvas","","","","Ole Peter Hansen Balling","","National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue; Frame conserved with funds from the Smithsonian Women's Committee"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/ny120016_2.jpg","Albany Institute of History and Art","","","c. 1875-1885","1954","121.1cm x 50.2cm (47 11/16"" x 19 3/4""), Accurate ","","Painting","","Watercolor on silk","","","","F. Nakayama","","Albany Institute of History and Art, Gift of Mr. Miland G. Batcheller"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/.jpg","National Portrait Gallery, Smithsonian Institution","","","1968","1978-05","53.9cm x 40cm (21 1/4"" x 15 3/4""), Accurate ","","Painting","","Watercolor, pencil and tempera on Masonite","","","","Hector Garrido","","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7910130a.jpg","National Portrait Gallery, Smithsonian Institution","","","1887","1979-11","76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","","Painting","","Oil on canvas","","","","Henry Ulke","","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500012a.jpg","National Portrait Gallery, Smithsonian Institution","","","1823","1985-05","90.8cm x 70.5cm (35 3/4"" x 27 3/4""), Accurate ","","Painting","","Oil on canvas","","","","Chester Harding","","National Portrait Gallery, Smithsonian Institution"
"","Born New York City  David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has aided the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and worldwide health organizations in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with partial views of two photographs by the Cuban photographer Abelardo Morell, testifying to his long-standing interest in art.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000002B.jpg","National Portrait Gallery, Smithsonian Institution","","","2006","2007-02-20","Sheet: 76.6 x 58.1cm (30 3/16 x 22 7/8"") Mat: 91.4 x 66cm (36 x 26"") ","","Painting","","Oil on paper","","","","Jon R. Friedman","","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has increased the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and health organizations worldwide in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with a print by Richard Serra, testifying to his long-standing interest in art. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000004B.jpg","National Portrait Gallery, Smithsonian Institution","","","2006","2007-02-20","Sheet: 76.3 x 56.4 cm (30 1/16 x 22 3/16"") Oversize mat. ","","Painting","","Oil and acrylic on paper","","","","Jon R. Friedman","","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500148A.jpg","National Portrait Gallery, Smithsonian Institution","","","1919","1985-11","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","","","John Wycliffe Lowes Forster","","National Portrait Gallery, Smithsonian Institution; gift of Gilbert Grosvenor Coville"
